adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,1,2011,403.5,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,2,2011,380,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,4,2011,277.5,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,5,2011,450,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,6,2011,450,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,9,2011,375,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,10,2011,400,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,1,2012,500,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,2,2012,550,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,5,2012,725,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,6,2012,700,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,12,2012,500,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,1,2013,500,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,2,2013,466.6667,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,3,2013,525,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,4,2013,595.6667,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,5,2013,644.6667,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,6,2013,536.25,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,7,2013,600,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,10,2013,600,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,11,2013,750,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,12,2013,500,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,1,2014,500,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,2,2014,500,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,5,2014,733.5,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,6,2014,691.75,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,7,2014,700,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,8,2014,750,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,9,2014,700,MINAGRI
205,Rwanda,21973,$West/Iburengerazuba,1045,Birambo,456,Peas (fresh),77,RWF,15,Retail,5,KG,11,2014,683.3333,MINAGRI
